,description
822,"{'min_years_of_experience': 7, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': None, 'max_yearly_salary': None, 'required_degree': 'BS/MS', 'remote_work': True, 'required_skills': ['machine learning', 'data science', 'AWS', 'Python', 'data visualization', 'data manipulation', 'analytical skills', 'problem-solving']}"
823,"{'min_years_of_experience': 2, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': None, 'max_yearly_salary': None, 'required_degree': None, 'remote_work': True, 'required_skills': ['machine learning', 'data analysis', 'Python', 'code review', 'debugging', 'communication', 'problem solving']}"
824,"{'min_years_of_experience': 3, 'min_hourly_salary': 50, 'max_hourly_salary': 100, 'min_yearly_salary': 100000, 'max_yearly_salary': 200000, 'required_degree': 'MS', 'remote_work': False, 'required_skills': ['Machine Learning', 'AI Model Optimisation', 'Back-end Development', 'Node.js', 'Python']}"
825,"{'min_years_of_experience': None, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': None, 'max_yearly_salary': None, 'required_degree': 'MS', 'remote_work': False, 'required_skills': ['machine learning', 'robotics', 'imitation learning', 'reinforcement learning']}"
826,"{'min_years_of_experience': 6, 'min_hourly_salary': 83, 'max_hourly_salary': 116, 'min_yearly_salary': 173000, 'max_yearly_salary': 242000, 'required_degree': 'BS', 'remote_work': False, 'required_skills': ['data analysis', 'data mining', 'SQL', 'Python', 'R']}"
827,"{'min_years_of_experience': 3, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': 104800, 'max_yearly_salary': 158400, 'required_degree': None, 'remote_work': True, 'required_skills': ['machine learning', 'AI infrastructure', 'AWS', 'ML tools', 'programming', 'cloud platforms', 'Terraform', 'communication', 'Python', 'statistical analysis', 'generative AI']}"
828,"{'min_years_of_experience': 6, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': 131800, 'max_yearly_salary': 223000, 'required_degree': 'MS/PhD', 'remote_work': False, 'required_skills': ['programming', 'C++', 'computer vision', 'medical image analysis', 'robotics', 'sensor fusion', 'machine learning', 'troubleshooting', 'debugging', 'Linux', 'OOP design', 'OpenCV', 'PyTorch', 'TensorFlow', 'ITK', 'VTK', 'ROS']}"
829,"{'min_years_of_experience': 2, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': None, 'max_yearly_salary': None, 'required_degree': 'BS/MS/PHD', 'remote_work': False, 'required_skills': ['Python', 'machine learning', 'deep learning', 'statistics', 'data mining', 'NLP', 'SQL', 'cloud computing']}"
830,"{'min_years_of_experience': 3, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': None, 'max_yearly_salary': None, 'required_degree': 'BS', 'remote_work': False, 'required_skills': ['data analysis', 'statistical modeling', 'machine learning', 'SQL', 'Python', 'Microsoft Office Suite']}"
831,"{'min_years_of_experience': 8, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': None, 'max_yearly_salary': None, 'required_degree': 'BS', 'remote_work': False, 'required_skills': ['data analysis', 'prediction algorithms', 'collaboration', 'predictive modeling', 'machine-learning', 'programming']}"
832,"{'min_years_of_experience': 2, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': None, 'max_yearly_salary': None, 'required_degree': 'BS/MS', 'remote_work': True, 'required_skills': ['Python', 'R', 'Java', 'TensorFlow', 'PyTorch', 'Keras', 'NLP', 'computer vision', 'deep learning', 'data preprocessing', 'feature engineering', 'exploratory data analysis', 'AWS', 'Azure', 'Google AI', 'Hadoop', 'Spark', 'Kafka', 'algorithms', 'data structures', 'model evaluation']}"
833,"{'min_years_of_experience': 7, 'min_hourly_salary': 53, 'max_hourly_salary': 62, 'min_yearly_salary': 106000, 'max_yearly_salary': 132500, 'required_degree': 'BS/MS', 'remote_work': True, 'required_skills': ['data science', 'Gen AI', 'medical industry', 'billing systems', 'predictive analytics', 'machine learning', 'cloud services', 'Python', 'R', 'SQL', 'data visualization', 'leadership']}"
834,"{'min_years_of_experience': 2, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': None, 'max_yearly_salary': None, 'required_degree': 'BS/MS', 'remote_work': True, 'required_skills': ['Python', 'R', 'Java', 'TensorFlow', 'PyTorch', 'Keras', 'NLP', 'computer vision', 'deep learning', 'data preprocessing', 'feature engineering', 'exploratory data analysis', 'AWS', 'Azure', 'Google AI', 'Hadoop', 'Spark', 'Kafka', 'algorithms', 'data structures', 'model evaluation']}"
835,"{'min_years_of_experience': 11, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': None, 'max_yearly_salary': None, 'required_degree': None, 'remote_work': False, 'required_skills': ['AI/ML', 'Python', 'TensorFlow', 'PyTorch', 'unit testing', 'integration testing', 'cloud platforms', 'REST API', 'Git', 'collaborative development', 'Design Patterns', 'NLP', 'computer vision']}"
836,"{'min_years_of_experience': None, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': None, 'max_yearly_salary': None, 'required_degree': 'MS', 'remote_work': False, 'required_skills': ['Statistics', 'Mathematics', 'Engineering', 'Python', 'Pandas', 'Numpy', 'Machine Learning', 'database management']}"
837,"{'min_years_of_experience': 5, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': None, 'max_yearly_salary': None, 'required_degree': 'BS', 'remote_work': False, 'required_skills': ['Python', 'AWS', 'Docker', 'Kafka', 'Redis', 'DynamoDB', 'Snowflake', 'Airflow', 'SQL', 'Machine Learning']}"
838,"{'min_years_of_experience': None, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': None, 'max_yearly_salary': None, 'required_degree': 'University degree in Computer Science, Mathematics, Statistics, AI, Physics, or a related field', 'remote_work': False, 'required_skills': ['Python programming', 'advanced analytics', 'machine learning', 'Clustering', 'regression', 'classification', 'forecasting', 'Neural networks', 'hyperparameter optimization', 'Stochastic data modeling', 'anomaly detection', 'data storytelling', 'visualization']}"
839,"{'min_years_of_experience': 5, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': 165000, 'max_yearly_salary': 240000, 'required_degree': None, 'remote_work': False, 'required_skills': ['computer vision', 'ML systems', 'PyTorch', 'video processing', 'collaboration']}"
840,"{'min_years_of_experience': 4, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': None, 'max_yearly_salary': None, 'required_degree': 'BS', 'remote_work': False, 'required_skills': ['data analysis', 'data visualization', 'business intelligence', 'statistical analyses', 'data management', 'communication', 'teamwork']}"
841,"{'min_years_of_experience': 7, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': 186000, 'max_yearly_salary': 224000, 'required_degree': 'BS/MS', 'remote_work': True, 'required_skills': ['data science', 'product analytics', 'statistical modeling', 'experimentation', 'SQL', 'Python', 'communication', 'analytics framework']}"
842,"{'min_years_of_experience': 4, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': None, 'max_yearly_salary': None, 'required_degree': 'BS', 'remote_work': False, 'required_skills': ['data analysis', 'data visualization', 'Microsoft Power BI', 'SQL', 'R', 'Python', 'SAS', 'data management', 'statistical analyses', 'report writing', 'communication']}"
843,"{'min_years_of_experience': 2, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': 101800, 'max_yearly_salary': 147700, 'required_degree': 'MS', 'remote_work': True, 'required_skills': ['AI application development', 'Prompt engineering', 'Model fine-tuning', 'Model evaluation', 'Collaboration', 'Communication', 'LLM models', 'Fine-tuning', 'Embeddings', 'Python', 'NLP', 'MLOps']}"
844,"{'min_years_of_experience': 1, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': None, 'max_yearly_salary': None, 'required_degree': 'PhD', 'remote_work': True, 'required_skills': ['finance', 'CompSci', 'Azure', 'AWS', 'ETL']}"
845,"{'min_years_of_experience': 5, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': None, 'max_yearly_salary': None, 'required_degree': None, 'remote_work': False, 'required_skills': ['computer vision', 'ML systems', 'PyTorch', 'video processing']}"
846,"{'min_years_of_experience': None, 'min_hourly_salary': 45, 'max_hourly_salary': 61, 'min_yearly_salary': None, 'max_yearly_salary': None, 'required_degree': 'BS/MS', 'remote_work': False, 'required_skills': ['SQL', 'statistics', 'data visualization', 'business', 'engineering']}"
847,"{'min_years_of_experience': 3, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': None, 'max_yearly_salary': None, 'required_degree': None, 'remote_work': False, 'required_skills': ['machine learning', 'AI', 'Python', 'data preprocessing', 'feature engineering', 'model training', 'model evaluation', 'model deployment', 'problem solving', 'statistical concepts']}"
848,"{'min_years_of_experience': 6, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': 177000, 'max_yearly_salary': 266000, 'required_degree': 'MS', 'remote_work': False, 'required_skills': ['data analysis', 'statistical analysis', 'business recommendations', 'mathematical techniques', 'problem-solving', 'communication', 'leadership', 'initiative', 'teaching']}"
849,"{'min_years_of_experience': 3, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': 152000, 'max_yearly_salary': 228000, 'required_degree': 'MS', 'remote_work': False, 'required_skills': ['statistical methods', 'SQL', 'data analysis', 'scripting', 'statistical models', 'communication']}"
850,"{'min_years_of_experience': 2, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': None, 'max_yearly_salary': None, 'required_degree': 'BS', 'remote_work': False, 'required_skills': ['SQL', 'Python', 'statistical analysis', 'experimentation design', 'communication']}"
851,"{'min_years_of_experience': 3, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': None, 'max_yearly_salary': None, 'required_degree': 'MS', 'remote_work': True, 'required_skills': ['Pattern Recognition', 'Neural Networks', 'Natural Language Processing', 'Software Development', 'Machine Learning']}"
852,"{'min_years_of_experience': 5, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': 160000, 'max_yearly_salary': 218000, 'required_degree': 'related field (e.g., Mathematics, Physics)', 'remote_work': True, 'required_skills': ['machine learning', 'data analysis', 'Python', 'ML libraries', 'Scala', 'SQL', 'No-SQL', 'data engineering', 'ad optimization']}"
853,"{'min_years_of_experience': 8, 'min_hourly_salary': 75, 'max_hourly_salary': 85, 'min_yearly_salary': None, 'max_yearly_salary': None, 'required_degree': 'BS', 'remote_work': False, 'required_skills': ['customer segmentation', 'market research', 'data analysis', 'statistical analysis', 'machine learning', 'data visualization', 'stakeholder collaboration', 'project management']}"
854,"{'min_years_of_experience': 2, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': None, 'max_yearly_salary': None, 'required_degree': 'BS', 'remote_work': False, 'required_skills': ['data visualization', 'datasets', 'graph-based algorithms', 'statistical analysis', 'data', 'machine learning', 'feature engineering', 'r', 'prototype', 'performance evaluation', 'metrics', 'models', 'cloud development', 'cross validation', 'data analysis', 'algorithms', 'sas', 'data mining', 'matlab', 'python', 'roc curves', 'learning', 'confusion matrices', 'analytics']}"
855,"{'min_years_of_experience': 1, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': None, 'max_yearly_salary': None, 'required_degree': 'BS/MS/PHD', 'remote_work': False, 'required_skills': ['Python', 'SQL', 'Linux', 'machine learning', 'NLP', 'deep learning', 'A/B testing', 'statistical analysis']}"
856,"{'min_years_of_experience': 2, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': None, 'max_yearly_salary': None, 'required_degree': 'Ph.D.', 'remote_work': False, 'required_skills': ['data analysis', 'Python', 'optimization models', 'communication', 'collaboration', 'experimentation']}"
857,"{'min_years_of_experience': None, 'min_hourly_salary': 16, 'max_hourly_salary': 75, 'min_yearly_salary': None, 'max_yearly_salary': None, 'required_degree': 'MS', 'remote_work': False, 'required_skills': ['data analysis', 'machine learning', 'SQL', 'Excel', 'mentoring', 'problem solving']}"
858,"{'min_years_of_experience': 5, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': 161500, 'max_yearly_salary': 221500, 'required_degree': None, 'remote_work': True, 'required_skills': ['data science', 'data analysis', 'data engineering', 'SQL', 'R', 'Python', 'dimensional modeling', 'data warehousing', 'statistics', 'experimental design', 'data modeling', 'DBT', 'Looker', 'data visualization']}"
859,"{'min_years_of_experience': 7, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': None, 'max_yearly_salary': None, 'required_degree': 'BS', 'remote_work': True, 'required_skills': ['data extraction', 'advanced analytics', 'data cleansing', 'Python mastery', 'problem-solving', 'creative thinking', 'experiment design', 'communication skills', 'research objectives', 'data insights', 'collaborative coding', 'machine learning', 'big data', 'deep learning']}"
860,"{'min_years_of_experience': 5, 'min_hourly_salary': 0, 'max_hourly_salary': 0, 'min_yearly_salary': 130000, 'max_yearly_salary': 180000, 'required_degree': None, 'remote_work': False, 'required_skills': ['ML infrastructure', 'Python', 'ML frameworks', 'on-premises systems', 'CI/CD']}"
861,"{'min_years_of_experience': None, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': None, 'max_yearly_salary': None, 'required_degree': None, 'remote_work': False, 'required_skills': ['Machine Learning', 'Python', 'Deep Learning', 'Gen AI', 'Computer Vision', 'Opensource', 'Azure Cloud', 'LLM', 'Images experience']}"
